2022-10-13 18:11:48 status unpacked cpp-8:amd64 8.3.0-6
2022-10-13 18:11:48 install cpp:amd64 <none> 4:8.3.0-1
2022-10-13 18:11:48 status half-installed cpp:amd64 4:8.3.0-1
2022-10-13 18:11:49 status unpacked cpp:amd64 4:8.3.0-1
2022-10-13 18:11:49 install libcc1-0:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libcc1-0:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libcc1-0:amd64 8.3.0-6
2022-10-13 18:11:49 install libgomp1:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libgomp1:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libgomp1:amd64 8.3.0-6
2022-10-13 18:11:49 install libitm1:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libitm1:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libitm1:amd64 8.3.0-6
2022-10-13 18:11:49 install libatomic1:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libatomic1:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libatomic1:amd64 8.3.0-6
2022-10-13 18:11:49 install libasan5:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libasan5:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libasan5:amd64 8.3.0-6
2022-10-13 18:11:49 install liblsan0:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed liblsan0:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked liblsan0:amd64 8.3.0-6
2022-10-13 18:11:49 install libtsan0:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libtsan0:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libtsan0:amd64 8.3.0-6
2022-10-13 18:11:49 install libubsan1:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libubsan1:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libubsan1:amd64 8.3.0-6
2022-10-13 18:11:49 install libmpx2:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libmpx2:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libmpx2:amd64 8.3.0-6
2022-10-13 18:11:49 install libquadmath0:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libquadmath0:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libquadmath0:amd64 8.3.0-6
2022-10-13 18:11:49 install libgcc-8-dev:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed libgcc-8-dev:amd64 8.3.0-6
2022-10-13 18:11:49 status unpacked libgcc-8-dev:amd64 8.3.0-6
2022-10-13 18:11:49 install gcc-8:amd64 <none> 8.3.0-6
2022-10-13 18:11:49 status half-installed gcc-8:amd64 8.3.0-6
2022-10-13 18:11:50 status unpacked gcc-8:amd64 8.3.0-6
2022-10-13 18:11:50 install gcc:amd64 <none> 4:8.3.0-1
2022-10-13 18:11:50 status half-installed gcc:amd64 4:8.3.0-1
2022-10-13 18:11:50 status unpacked gcc:amd64 4:8.3.0-1
2022-10-13 18:11:50 install libstdc++-8-dev:amd64 <none> 8.3.0-6
2022-10-13 18:11:50 status half-installed libstdc++-8-dev:amd64 8.3.0-6
2022-10-13 18:11:50 status unpacked libstdc++-8-dev:amd64 8.3.0-6
2022-10-13 18:11:50 install g++-8:amd64 <none> 8.3.0-6
2022-10-13 18:11:50 status half-installed g++-8:amd64 8.3.0-6
2022-10-13 18:11:50 status unpacked g++-8:amd64 8.3.0-6
2022-10-13 18:11:50 install g++:amd64 <none> 4:8.3.0-1
2022-10-13 18:11:50 status half-installed g++:amd64 4:8.3.0-1
2022-10-13 18:11:50 status unpacked g++:amd64 4:8.3.0-1
2022-10-13 18:11:50 install make:amd64 <none> 4.2.1-1.2
2022-10-13 18:11:50 status half-installed make:amd64 4.2.1-1.2
2022-10-13 18:11:50 status unpacked make:amd64 4.2.1-1.2
2022-10-13 18:11:50 install libdpkg-perl:all <none> 1.19.8
2022-10-13 18:11:50 status half-installed libdpkg-perl:all 1.19.8
2022-10-13 18:11:51 status unpacked libdpkg-perl:all 1.19.8
2022-10-13 18:11:51 install patch:amd64 <none> 2.7.6-3+deb10u1
2022-10-13 18:11:51 status half-installed patch:amd64 2.7.6-3+deb10u1
2022-10-13 18:11:51 status unpacked patch:amd64 2.7.6-3+deb10u1
2022-10-13 18:11:51 install dpkg-dev:all <none> 1.19.8
2022-10-13 18:11:51 status half-installed dpkg-dev:all 1.19.8
2022-10-13 18:11:51 status unpacked dpkg-dev:all 1.19.8
2022-10-13 18:11:51 install build-essential:amd64 <none> 12.6
2022-10-13 18:11:51 status half-installed build-essential:amd64 12.6
2022-10-13 18:11:51 status unpacked build-essential:amd64 12.6
2022-10-13 18:11:51 install libassuan0:amd64 <none> 2.5.2-1
2022-10-13 18:11:51 status half-installed libassuan0:amd64 2.5.2-1
2022-10-13 18:11:51 status unpacked libassuan0:amd64 2.5.2-1
2022-10-13 18:11:51 install gpgconf:amd64 <none> 2.2.12-1+deb10u2
2022-10-13 18:11:51 status half-installed gpgconf:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:51 status unpacked gpgconf:amd64 2.2.12-1+deb10u2
2022-10-13 18:11:51 install libksba8:amd64 <none> 1.3.5-2
2022-10-13 18:11:51 status half-installed libksba8:amd64 1.3.5-2
2022-10-13 18:11:51 status unpacked libksba8:amd64 1.3.5-2
2022-10-13 18:11:51 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:51 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:51 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:51 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:51 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:51 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u2
2022-10-13 18:11:51 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u7
